Index,Is Reference,Name,Brightest Detector,ra,dec,t90,Binsize,Distance,Sigma
152,0,GRB191220589,n4,211.77,-67.51,27.905,1.0,13866.0,120.473
194,0,GRB170210116,n2,226.05,-65.1,76.545,1.0,44913.0,407.352
201,0,GRB110411629,n8,210.3,-64.99,23.552,1.0,8660.0,72.369
211,0,GRB091017985,n0,214.4,-64.74,44.8,1.0,1807.0,9.046
236,0,GRB141016897,n6,221.45,-62.49,17.405,1.0,3673.0,26.289
250,0,GRB170912273,n9,215.46,-62.0,13.568,1.0,11167.0,95.534
252,0,GRB170727841,n9,218.85,-61.84,19.2,1.0,2980.0,19.885
254,0,GRB170112970,n0,207.76,-61.77,7.36,1.0,953.0,1.155
262,0,GRB140115863,n4,210.03,-61.41,14.909,1.0,2287.0,13.482
317,0,GRB111015427,n2,220.65,-58.41,92.737,1.0,6138.0,49.066
367,0,GRB150425617,n6,214.23,-55.5,4.352,1.0,1658.0,7.67
67,1,GRB161012637,n0,160.43,-74.28,6.4,1.0,0.0,
